iron_alloy_name,"Elastic (Young's, Tensile) Modulus (psi)",Elongation at Break (%),Shear Modulus (psi),Tensile Strength: Ultimate (UTS) (psi),Tensile Strength: Yield (Proof) (psi),Compressive (Crushing) Strength (psi),Fracture Toughness (MPa·m^0.5),Shear Strength (psi),Impact Strength: V-Notched Charpy (lb),Fatigue Strength (psi),Reduction in Area (%),Latent Heat of Fusion (J/g),Melting Completion (Liquidus) (F),Melting Onset (Solidus) (F),Specific Heat Capacity (F),Thermal Conductivity (F),Thermal Expansion (K),Maximum Temperature: Mechanical (F),Maximum Temperature: Corrosion (F),Curie Temperature (F),Base Metal Price (relative),Embodied Carbon (material),Embodied Energy (BTU/lb),Embodied Water (gal/lb),Calomel Potential (mV),Stiffness to Weight: Axial (points),Stiffness to Weight: Bending (points),Strength to Weight: Axial (points),Strength to Weight: Bending (points),Thermal Diffusivity (/s),Thermal Shock Resistance (points),Brinell Hardness min,Brinell Hardness max,Poisson's Ratio min,Poisson's Ratio max,Rockwell C Hardness min,Rockwell C Hardness max,Rockwell B Hardness min,Rockwell B Hardness max,Density min,Density max,Resilience: Ultimate (Unit Rupture Work) min,Resilience: Ultimate (Unit Rupture Work) max,Resilience: Unit (Modulus of Resilience) min,Resilience: Unit (Modulus of Resilience) max,PREN (Pitting Resistance) min,PREN (Pitting Resistance) max,Iron (Fe)Fe min,Iron (Fe)Fe max,Carbon (C)C min,Carbon (C)C max,Silicon (Si)Si min,Silicon (Si)Si max,Manganese (Mn)Mn min,Manganese (Mn)Mn max,Phosphorus (P)P min,Phosphorus (P)P max,Sulfur (S)S min,Sulfur (S)S max,Chromium (Cr)Cr min,Chromium (Cr)Cr max,Molybdenum (Mo)Mo min,Molybdenum (Mo)Mo max,Nickel (Ni)Ni min,Nickel (Ni)Ni max,Copper (Cu)Cu min,Copper (Cu)Cu max,Vanadium (V)V min,Vanadium (V)V max,Aluminum (Al)Al min,Aluminum (Al)Al max,Magnesium (Mg)Mg min,Magnesium (Mg)Mg max,Selenium (Se)Se min,Selenium (Se)Se max,Tin (Sn)Sn min,Tin (Sn)Sn max,Arsenic (As)As min,Arsenic (As)As max,Residualsres. min,Residualsres. max,Titanium (Ti)Ti min,Titanium (Ti)Ti max,Zirconium (Zr)Zr min,Zirconium (Zr)Zr max,Niobium (Nb)Nb min,Niobium (Nb)Nb max,Nitrogen (N)N min,Nitrogen (N)N max,Cobalt (Co)Co min,Cobalt (Co)Co max,Tungsten (W)W min,Tungsten (W)W max,Calcium (Ca)Ca min,Calcium (Ca)Ca max,Boron (B)B min,Boron (B)B max,Oxygen (O)O min,Oxygen (O)O max,Tantalum (Ta)Ta min,Tantalum (Ta)Ta max,Cerium (Ce)Ce min,Cerium (Ce)Ce max,Lanthanum (La)La min,Lanthanum (La)La max,Zinc (Zn)Zn min,Zinc (Zn)Zn max,Lead (Pb)Pb min,Lead (Pb)Pb max
UNS N08904 (904L) Stainless Steel,200,38,79,540,240,,,370,,200,,300,1440,1390,470,12,16,1100,430,,32,5.8,79,200,,14,24,19,18,3.1,12,170,170,0.28,0.28,,,77,77,8.1g/cm3500lb/ft3,8.1g/cm3500lb/ft3,170MJ/m3,170MJ/m3,150kJ/m3,150kJ/m3,37,37,38.8,53,0,0.020,0,1.0,0,2.0,0,0.045,0,0.035,19,23,4.0,5.0,23,28,1.0,2.0,,,,,,,,,,,,,,,,,,,,,0,0.1,,,,,,,,,,,,,,,,,,,,
EN 1.4565 (X2CrNiMnMoN25-18-6-5) Stainless Steel,210,35,81,880,480,,,590,110,380,,310,1420,1380,470,12,15,1100,460,,28,5.4,74,210,,14,25,31,26,3.2,21,,,0.28,0.28,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,260MJ/m3,260MJ/m3,550kJ/m3,550kJ/m3,47,47,41.2,50.7,0,0.030,0,1.0,5.0,7.0,0,0.030,0,0.015,24,26,4.0,5.0,16,19,,,,,,,,,,,,,,,,,,,,,0,0.15,0.3,0.6,,,,,,,,,,,,,,,,,,,,
UNS N08801 (Alloy 801) Stainless Steel,200,34,77,860,190,,,570,,260,,300,1390,1360,480,12,16,1090,630,,30,5.5,79,200,,14,24,30,25,3.3,20,,,0.28,0.28,,,,,8.0g/cm3500lb/ft3,8.0g/cm3500lb/ft3,220MJ/m3,220MJ/m3,92kJ/m3,92kJ/m3,21,21,39.5,50.3,0,0.1,0,1.0,0,1.5,,,0,0.015,19,22,,,30,34,0,0.5,,,,,,,,,,,,,,,0.75,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 1.4539 (X1NiCrMoCu25-20-5) Stainless Steel,200,38,79,630,260,,,430,90,220,,300,1440,1390,460,12,16,1100,420,,31,5.7,78,200,,14,24,22,20,3.2,14,200,200,0.28,0.28,,,,,8.1g/cm3500lb/ft3,8.1g/cm3500lb/ft3,190MJ/m3,190MJ/m3,160kJ/m3,160kJ/m3,36,36,43.1,51.8,0,0.020,0,0.7,0,2.0,0,0.030,0,0.010,19,21,4.0,5.0,24,26,1.2,2.0,,,,,,,,,,,,,,,,,,,,,0,0.15,,,,,,,,,,,,,,,,,,,,
UNS S35315 (353 MA) Stainless Steel,200,46,78,740,300,,,520,,280,,330,1370,1330,480,12,16,1100,450,,34,5.7,81,220,,14,25,26,23,3.1,17,190,190,0.28,0.28,,,82,82,7.9g/cm3500lb/ft3,7.9g/cm3500lb/ft3,270MJ/m3,270MJ/m3,230kJ/m3,230kJ/m3,27,27,33.6,40.6,0.040,0.080,1.2,2.0,0,2.0,0,0.040,0,0.030,24,26,,,34,36,,,,,,,,,,,,,,,,,,,,,,,0.12,0.18,,,,,,,,,,,,,0.030,0.1,,,,,,
"UNS S34565 (Alloy 24,F49) Stainless Steel",210,39,80,900,470,,,610,,400,45,310,1420,1380,470,12,15,1100,450,,28,5.3,73,210,,14,25,32,26,3.2,22,200,200,0.28,0.28,,,88,88,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,300MJ/m3,300MJ/m3,540kJ/m3,540kJ/m3,47,47,43.2,51.6,0,0.030,0,1.0,5.0,7.0,0,0.030,0,0.010,23,25,4.0,5.0,16,18,,,,,,,,,,,,,,,,,,,,,0,0.1,0.4,0.6,,,,,,,,,,,,,,,,,,,,
EN 1.4563 (X1NiCrMoCu31-27-4) Stainless Steel,200,40,80,620,250,,,420,91,210,,310,1420,1370,470,12,16,1100,460,,36,6.3,87,240,,14,24,21,20,3.2,13,200,200,0.28,0.28,,,,,8.1g/cm3500lb/ft3,8.1g/cm3500lb/ft3,200MJ/m3,200MJ/m3,150kJ/m3,150kJ/m3,39,39,31.6,40.3,0,0.020,0,0.7,0,2.0,0,0.030,0,0.010,26,28,3.0,4.0,30,32,0.7,1.5,,,,,,,,,,,,,,,,,,,,,0,0.1,,,,,,,,,,,,,,,,,,,,
UNS N08535 (Alloy 8535) Iron-Nickel-Chromium Alloy,200,46,80,570,240,,,400,,220,,310,1420,1370,470,13,16,1100,450,,36,6.3,87,230,,14,24,20,19,3.3,13,,,0.28,0.28,,,,,8.1g/cm3510lb/ft3,8.1g/cm3510lb/ft3,210MJ/m3,210MJ/m3,140kJ/m3,140kJ/m3,36,36,29.4,44.5,0,0.030,0,0.5,0,1.0,0,0.030,0,0.030,24,27,2.5,4.0,29,36.5,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNS N08135 Iron-Nickel-Chromium Alloy,200,46,80,570,240,,,400,,220,,310,1440,1390,460,,16,1100,430,,39,6.8,94,220,,14,24,19,19,,13,,,0.28,0.28,,,,,8.2g/cm3510lb/ft3,8.2g/cm3510lb/ft3,210MJ/m3,210MJ/m3,140kJ/m3,140kJ/m3,38,38,30.2,42.3,0,0.030,0,0.75,0,1.0,0,0.030,0,0.030,20.5,23.5,4.0,5.0,33,38,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.8,,,,,,,,,,,,,,,,
UNS S32654 (Alloy 654) Stainless Steel,210,45,82,850,490,,,590,,450,46,310,1450,1410,460,11,15,1100,440,,34,6.4,87,220,,14,25,29,25,2.9,19,220,220,0.28,0.28,,,,,8.0g/cm3500lb/ft3,8.0g/cm3500lb/ft3,330MJ/m3,330MJ/m3,570kJ/m3,570kJ/m3,57,57,38.3,45.3,0,0.020,0,0.5,2.0,4.0,0,0.030,0,0.0050,24,25,7.0,8.0,21,23,0.3,0.6,,,,,,,,,,,,,,,,,,,,,0.45,0.55,,,,,,,,,,,,,,,,,,,,
UNS S31277 (27-7Mo) Stainless Steel,210,45,80,860,410,,,600,,380,,310,1460,1410,460,,16,1100,430,,36,6.7,90,220,,14,24,29,25,,19,,,0.28,0.28,,,,,8.1g/cm3510lb/ft3,8.1g/cm3510lb/ft3,320MJ/m3,320MJ/m3,410kJ/m3,410kJ/m3,51,51,35.5,46.2,0,0.020,0,0.5,0,3.0,0,0.030,0,0.010,20.5,23,6.5,8.0,26,28,0.5,1.5,,,,,,,,,,,,,,,,,,,,,0.3,0.4,,,,,,,,,,,,,,,,,,,,
UNS N08925 Stainless Steel,200,45,80,680,340,,,470,,310,,300,1460,1410,460,13,16,1100,420,,33,6.2,84,200,,14,24,23,21,3.5,15,,,0.28,0.28,,,,,8.1g/cm3510lb/ft3,8.1g/cm3510lb/ft3,250MJ/m3,250MJ/m3,280kJ/m3,280kJ/m3,44,44,42.7,50.1,0,0.020,0,0.5,0,1.0,0,0.045,0,0.030,19,21,6.0,7.0,24,26,0.8,1.5,,,,,,,,,,,,,,,,,,,,,0.1,0.2,,,,,,,,,,,,,,,,,,,,
EN 1.4958 (X5NiCrAlTi31-20) Stainless Steel,200,40,77,630,190,,,430,,170,,300,1400,1350,480,12,15,1090,500,,30,5.3,75,200,,14,24,22,20,3.2,15,,,0.28,0.28,,,,,8.0g/cm3500lb/ft3,8.0g/cm3500lb/ft3,190MJ/m3,190MJ/m3,95kJ/m3,95kJ/m3,21,21,41.1,50.6,0.030,0.080,0,0.7,0,1.5,0,0.015,0,0.010,19,22,,,30,32.5,0,0.5,,,0.2,0.5,,,,,,,,,,,0.2,0.5,,,0,0.1,0,0.030,0,0.5,,,,,,,,,,,,,,,,,,
EN 1.4659 (X1CrNiMoCuNW24-22-6) Stainless Steel,210,49,81,900,480,,,640,94,460,,300,1480,1430,460,12,16,1100,440,,37,6.5,89,220,,14,24,31,25,3.2,19,260,260,0.28,0.28,,,,,8.2g/cm3510lb/ft3,8.2g/cm3510lb/ft3,370MJ/m3,370MJ/m3,550kJ/m3,550kJ/m3,54,54,35.7,45.7,0,0.020,0,0.7,2.0,4.0,0,0.030,0,0.010,23,25,5.5,6.5,21,23,1.0,2.0,,,,,,,,,,,,,,,,,,,,,0.35,0.5,,,1.5,2.5,,,,,,,,,,,,,,,,
UNS N08926 (Alloy 926) Stainless Steel,200,40,80,740,330,,,500,,290,,300,1460,1410,460,12,16,1100,420,,33,6.2,84,200,,14,24,25,22,3.2,16,,,0.28,0.28,,,,,8.1g/cm3510lb/ft3,8.1g/cm3510lb/ft3,240MJ/m3,240MJ/m3,270kJ/m3,270kJ/m3,45,45,41.7,50.4,0,0.020,0,0.5,0,2.0,0,0.030,0,0.010,19,21,6.0,7.0,24,26,0.5,1.5,,,,,,,,,,,,,,,,,,,,,0.15,0.25,,,,,,,,,,,,,,,,,,,,
UNS S31266 Stainless Steel,210,40,81,860,470,,,590,,400,56,310,1470,1420,460,12,16,1100,440,,37,6.5,89,220,,14,24,29,24,3.1,18,,,0.28,0.28,,,,,8.2g/cm3510lb/ft3,8.2g/cm3510lb/ft3,290MJ/m3,290MJ/m3,540kJ/m3,540kJ/m3,54,54,34.1,46,0,0.030,0,1.0,2.0,4.0,0,0.035,0,0.020,23,25,5.2,6.2,21,24,1.0,2.5,,,,,,,,,,,,,,,,,,,,,0.35,0.6,,,1.5,2.5,,,,,,,,,,,,,,,,
UNS N08330 (Alloy 330) Stainless Steel,200,34,76,550,230,,,360,,190,,310,1390,1340,480,12,16,1050,420,,32,5.4,77,190,,14,24,19,18,3.1,13,180,180,0.28,0.28,,,80,80,8.0g/cm3500lb/ft3,8.0g/cm3500lb/ft3,150MJ/m3,150MJ/m3,140kJ/m3,140kJ/m3,19,19,38.3,48.3,0,0.080,0.75,1.5,0,2.0,0,0.030,0,0.030,17,20,,,34,37,0,1.0,,,,,,,,,0,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0050
UNS N08332 Stainless Steel,200,34,76,520,210,,,350,,170,,310,1390,1340,480,12,16,1050,420,,32,5.4,77,190,,14,24,18,18,3.1,12,170,170,0.28,0.28,,,77,77,8.0g/cm3500lb/ft3,8.0g/cm3500lb/ft3,140MJ/m3,140MJ/m3,110kJ/m3,110kJ/m3,19,19,38.3,48.2,0.050,0.1,0.75,1.5,0,2.0,0,0.030,0,0.030,17,20,,,34,37,0,1.0,,,,,,,,,0,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0050
UNS N08028 (Alloy 28) Stainless Steel,200,45,80,570,240,,,400,,220,,320,1420,1370,470,12,16,1100,460,,37,6.4,89,240,,14,24,19,19,3.2,12,180,180,0.28,0.28,,,80,80,8.1g/cm3500lb/ft3,8.1g/cm3500lb/ft3,210MJ/m3,210MJ/m3,140kJ/m3,140kJ/m3,39,39,29,40.4,0,0.030,0,1.0,0,2.5,0,0.030,0,0.030,26,28,3.0,4.0,30,34,0.6,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNS N08020 (2.4660) Stainless Steel,200,15,77,610,270,,,380,,210,,300,1410,1360,460,12,15,1100,490,,38,6.6,92,220,,13,24,21,20,3.2,15,,,0.28,0.28,,,,,8.2g/cm3510lb/ft3,8.2g/cm3510lb/ft3,83,170MJ/m3,180,440kJ/m3,28,28,29.9,44,0,0.070,0,1.0,0,2.0,0,0.045,0,0.035,19,21,2.0,3.0,32,38,3.0,4.0,,,,,,,,,,,,,,,,,,,0,1.0,,,,,,,,,,,,,,,,,,,,,,
EN 1.4959 (X8NiCrAlTi32-21) Stainless Steel,200,40,77,630,190,,,430,,170,,300,1400,1350,480,12,15,1090,510,,31,5.4,76,200,,14,24,22,20,3.2,15,,,0.28,0.28,,,,,8.0g/cm3500lb/ft3,8.0g/cm3500lb/ft3,190MJ/m3,190MJ/m3,96kJ/m3,96kJ/m3,21,21,39.4,50.5,0.050,0.1,0,0.7,0,1.5,0,0.015,0,0.010,19,22,,,30,34,0,0.5,,,0.25,0.65,,,,,,,,,,,0.25,0.65,,,,,0,0.030,0,0.5,,,,,,,,,,,,,,,,,,
EN 1.4529 (X1NiCrMoCuN25-20-7) Stainless Steel,200,43,80,750,340,,,520,90,310,,300,1460,1410,460,12,16,1100,420,,33,6.2,84,200,,14,24,26,23,3.2,17,220,220,0.28,0.28,,,,,8.1g/cm3510lb/ft3,8.1g/cm3510lb/ft3,260MJ/m3,260MJ/m3,280kJ/m3,280kJ/m3,45,45,42.7,50.4,0,0.020,0,0.5,0,1.0,0,0.030,0,0.010,19,21,6.0,7.0,24,26,0.5,1.5,,,,,,,,,,,,,,,,,,,,,0.15,0.25,,,,,,,,,,,,,,,,,,,,
EN 1.4886 (X10NiCrSi35-19) Stainless Steel,200,45,76,580,300,,,400,,280,,320,1390,1340,480,12,15,1100,420,,31,5.4,76,190,,14,24,20,19,3.1,14,170,170,0.28,0.28,,,,,8.0g/cm3500lb/ft3,8.0g/cm3500lb/ft3,220MJ/m3,220MJ/m3,230kJ/m3,230kJ/m3,19,19,38.7,49,0,0.15,1.0,2.0,0,2.0,0,0.030,0,0.015,17,20,,,33,37,,,,,,,,,,,,,,,,,,,,,,,0,0.1,,,,,,,,,,,,,,,,,,,,
"UNS N08031 (Alloy 31,1.4562) Stainless Steel",210,45,81,730,310,,,510,,290,,310,1440,1390,460,12,18,1100,460,,39,7.1,96,240,,14,24,25,22,3.1,14,,,0.28,0.28,,,,,8.1g/cm3510lb/ft3,8.1g/cm3510lb/ft3,270MJ/m3,270MJ/m3,230kJ/m3,230kJ/m3,52,52,29,36.9,0,0.015,0,0.3,0,2.0,0,0.020,0,0.010,26,28,6.0,7.0,30,32,1.0,1.4,,,,,,,,,,,,,,,,,,,,,0.15,0.25,,,,,,,,,,,,,,,,,,,,
ASTM Grade LC9 (J31300) Cast Nickel Steel,190,22,73,660,590,,,,,420,34,260,1450,1410,470,,13,430,,,8.0,2.3,31,65,,13,24,23,21,,20,200,200,0.29,0.29,,,,,7.9g/cm3500lb/ft3,7.9g/cm3500lb/ft3,140MJ/m3,140MJ/m3,920kJ/m3,920kJ/m3,,,87.4,91.5,0,0.13,0,0.45,0,0.9,0,0.040,0,0.045,0,0.5,0,0.2,8.5,10,0,0.3,0,0.030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 1.5419 (G20Mo5) Cast Steel,190,25,73,540,270,,,,31,200,,250,1460,1420,470,49,13,410,,,2.4,1.5,20,48,,13,24,19,19,13,16,160,160,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,110MJ/m3,110MJ/m3,200kJ/m3,200kJ/m3,,,97.5,99,0.15,0.23,0,0.6,0.5,1.0,0,0.025,0,0.030,,,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 1.7230 (G34CrMo4) Cast Steel,190,11,73,720,510,,,,29,320,,250,1460,1420,470,44,13,420,,,2.4,1.5,20,51,,13,24,26,23,12,21,220,270,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,79,97MJ/m3,700,1460kJ/m3,,,96.7,98.3,0.3,0.37,0,0.6,0.5,0.8,0,0.025,0,0.030,0.8,1.2,0.15,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 1.7376 (GX15CrMo9-1) Cast Steel,190,20,75,710,460,,,,,320,,270,1460,1410,470,26,13,600,,,6.5,2.1,29,88,,14,25,25,23,6.9,20,210,210,0.28,0.28,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,130MJ/m3,130MJ/m3,560kJ/m3,560kJ/m3,12,12,86.2,90.6,0.12,0.19,0,1.0,0.35,0.65,0,0.030,0,0.030,8.0,10,0.9,1.2,0,0.4,0,0.3,0,0.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 1.6220 (G20Mn5) Cast Steel,190,23,73,550,340,,,,49,240,,250,1460,1420,470,52,13,400,,,2.1,1.5,19,48,,13,24,19,19,14,16,170,170,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,110,120MJ/m3,300,310kJ/m3,,,96.7,98.8,0.17,0.23,0,0.6,1.0,1.6,0,0.020,0,0.030,,,,,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A356 Grade 5 (J12540) Cast Steel,190,25,73,550,310,,,,,230,39,250,1470,1420,470,49,13,420,,,2.6,1.5,20,49,,13,24,20,19,13,16,170,170,0.29,0.29,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,120MJ/m3,120MJ/m3,250kJ/m3,250kJ/m3,2.2,2.2,97.1,99.2,0,0.25,0,0.6,0,0.7,0,0.035,0,0.030,0.4,0.7,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 1.7720 (G12MoCrV5-2) Cast Steel,190,19,73,590,340,,,,30,230,,250,1470,1430,470,40,13,410,,,2.8,2.2,30,51,,13,24,21,20,11,17,180,180,0.29,0.29,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,97MJ/m3,97MJ/m3,300kJ/m3,300kJ/m3,2.1,2.1,96.6,98.6,0.1,0.15,0,0.45,0.4,0.7,0,0.030,0,0.020,0.3,0.5,0.4,0.6,0,0.4,0,0.3,0.22,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A356 Grade 9 (J21610) Cast Steel,190,17,73,670,460,,,,,310,50,260,1470,1430,470,41,13,440,,,3.6,2.4,33,56,,13,24,24,22,11,19,200,200,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,100MJ/m3,100MJ/m3,570kJ/m3,570kJ/m3,4.7,4.7,95.2,97.2,0,0.2,0.2,0.6,0.5,0.9,0,0.035,0,0.030,1.0,1.5,0.9,1.2,,,,,0.2,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A148 Cast Steel,190,5.7,73,630,390,,,,,280,13,250,1460,1420,470,37,13,400,,,2.3,1.5,20,48,,13,24,22,21,9.9,18,190,390,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,71,150MJ/m3,400,3570kJ/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM Grade LCC (J02505) Cast Carbon-Manganese Steel,190,25,72,570,310,,,,,230,40,250,1450,1410,470,49,13,400,,,1.8,1.4,18,45,,13,24,20,20,13,17,170,170,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,120MJ/m3,120MJ/m3,260kJ/m3,260kJ/m3,,,96.9,100,0,0.25,0,0.6,0,1.2,0,0.040,0,0.045,,,,,,,,,,,,,,,,,,,,,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM Grade LC1 (J12522) Cast Carbon-Molybdenum Steel,190,27,73,540,270,,,,,200,40,250,1470,1420,470,50,13,410,,,2.4,1.5,20,47,,13,24,19,19,13,16,160,160,0.29,0.29,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,120MJ/m3,120MJ/m3,200kJ/m3,200kJ/m3,,,97.6,99.05,0,0.25,0,0.6,0.5,0.8,0,0.040,0,0.045,,,0.45,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 1.5636 (G9Ni10) Cast Steel,190,27,73,560,310,,,,,230,,250,1460,1420,470,52,13,410,,,3.6,1.7,23,52,,13,24,20,19,14,16,170,170,0.29,0.29,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,130MJ/m3,130MJ/m3,260kJ/m3,260kJ/m3,,,94.6,97.4,0.060,0.12,0,0.6,0.5,0.8,0,0.020,0,0.015,0,0.3,0,0.2,2.0,3.0,0,0.3,0,0.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 1.7221 (G26CrMo4) Cast Steel,190,11,73,650,430,,,,20,290,,250,1460,1420,470,44,13,420,,,2.4,1.5,20,51,,13,24,23,21,12,19,200,230,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,83,98MJ/m3,490,1050kJ/m3,,,96.8,98.3,0.22,0.29,0,0.6,0.5,0.8,0,0.025,0,0.030,0.8,1.2,0.15,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM Grade LC2 (J22500) Cast Nickel Steel,190,27,73,570,310,,,,,230,40,250,1460,1420,470,52,13,410,,,3.4,1.6,22,50,,13,24,20,19,14,17,170,170,0.29,0.29,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,130MJ/m3,130MJ/m3,260kJ/m3,260kJ/m3,,,95.3,97.5,0,0.25,0,0.6,0.5,0.8,0,0.040,0,0.045,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 1.5638 (G9Ni14) Cast Steel,190,23,73,580,410,,,,,290,,250,1460,1420,470,52,13,410,,,4.0,1.7,23,52,,13,24,20,20,14,17,170,170,0.29,0.29,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,120MJ/m3,120MJ/m3,450kJ/m3,450kJ/m3,,,94.4,96.4,0.060,0.12,0,0.6,0.5,0.8,0,0.020,0,0.015,,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A356 Grade 10 (J22090) Cast Steel,190,23,74,670,430,,,,,300,39,260,1470,1430,470,39,13,460,,,3.9,1.8,23,59,,13,24,24,22,11,19,200,200,0.29,0.29,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,130MJ/m3,130MJ/m3,480kJ/m3,480kJ/m3,5.9,5.9,94.4,96.6,0,0.2,0,0.6,0.5,0.8,0,0.035,0,0.030,2.0,2.8,0.9,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A217 Cast Alloy Steel,190,21,73,540,270,,,,,200,39,250,1450,1410,470,26,13,410,,,2.4,1.5,20,47,,13,24,19,19,6.9,16,160,210,0.28,0.29,,,,,7.8g/cm3480,490lb/ft3,110,130MJ/m3,190,570kJ/m3,2.5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 1.5422 (G18Mo5) Cast Steel,190,26,73,520,270,,,,,200,,250,1460,1420,470,39,13,410,,,2.7,1.6,22,50,,13,24,18,18,10,15,150,150,0.29,0.29,,,,,7.9g/cm3490lb/ft3,7.9g/cm3490lb/ft3,110MJ/m3,110MJ/m3,200kJ/m3,200kJ/m3,,,96.3,98.6,0.15,0.2,0,0.6,0.8,1.2,0,0.020,0,0.020,0,0.3,0.45,0.65,0,0.4,0,0.3,0,0.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 1.7231 (G42CrMo4) Cast Steel,190,11,73,790,570,,,,28,360,,250,1460,1420,470,46,13,420,,,2.5,1.5,20,51,,13,24,28,24,12,23,240,280,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,87,100MJ/m3,870,1700kJ/m3,,,96.4,98.1,0.38,0.45,0,0.6,0.6,1.0,0,0.025,0,0.030,0.8,1.2,0.15,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN 1.7365 (GX15CrMo5) Cast Steel,190,18,74,700,470,,,,31,320,,260,1460,1420,470,40,13,510,,,4.4,1.8,24,70,,14,25,25,22,11,20,210,210,0.29,0.29,,,,,7.8g/cm3490lb/ft3,7.8g/cm3490lb/ft3,110MJ/m3,110MJ/m3,580kJ/m3,580kJ/m3,6.8,6.8,91.2,94.9,0.12,0.19,0,0.8,0.5,0.8,0,0.025,0,0.025,4.0,6.0,0.45,0.65,,,0,0.3,0,0.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTM A732 Investment Cast Steel,190,4.0,72,460,310,,,,,230,,250,1440,1400,470,39,13,400,,,2.0,1.4,19,47,,13,24,16,17,10,14,140,440,0.29,0.29,,,,,7.8,7.9g/cm3490lb/ft3,45,130MJ/m3,260,4770kJ/m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
